Exercise_Name,muscle_gp,Equipment,Rating,Description
Seated face pull,Shoulders,Cable,8.5,Average
Rack Pull with Bands,Lower Back,Barbell,8.5,Average
Drag curl,Biceps,Barbell,8.5,Average
Hang Clean - Below the Knees,Quadriceps,Barbell,8.5,Average
Decline oblique crunch,Abdominals,None,8.5,Average
Dumbbell external shoulder rotation,Shoulders,Dumbbell,8.5,Average
Single-arm bent-over cable rear delt fly,Shoulders,Cable,8.5,Average
Clean,Hamstrings,Barbell,8.5,Average
Single-arm incline lateral raise,Shoulders,Dumbbell,8.5,Average
Decline bar press sit-up,Abdominals,Barbell,8.5,Average
Barbell rear delt bent-over row,Shoulders,Barbell,8.5,Average
Calf Press,Calves,Machine,8.5,Average
Kettlebell alternating renegade row,Middle Back,Kettlebells,8.5,Average
Bosu Ball Cable Crunch With Side Bends,Abdominals,Cable,8.5,Average
Stomach Vacuum,Abdominals,Body Only,8.5,Average
Hammer Grip Incline DB Bench Press,Chest,Dumbbell,8.5,Average
Wide-grip hands-elevated push-up,Chest,Body Only,8.5,Average
Decline Dumbbell Triceps Extension,Triceps,Dumbbell,8.5,Average
Jumping jack-,Quadriceps,Body Only,8.5,Average
Push-Ups With Feet On An Exercise Ball,Chest,Body Only,8.5,Average
Seated cable shoulder press,Shoulders,Cable,8.5,Average
Barbell hack squat,Quadriceps,Barbell,8.5,Average
Feet-elevated push-up,Chest,Body Only,8.5,Average
Good Morning,Hamstrings,Barbell,8.5,Average
Leverage Chest Press,Chest,Machine,8.5,Average
Gironda Sternum Chins,Lats,Other,8.5,Average
Exercise ball crunch,Abdominals,Exercise Ball,8.4,Average
Seated rear delt fly,Shoulders,Dumbbell,8.4,Average
Standing face pull,Shoulders,Cable,8.4,Average
Glute Ham Raise,Hamstrings,Machine,8.4,Average
Russian twist,Abdominals,Body Only,8.4,Average
Seated Flat Bench Leg Pull-In,Abdominals,Weight Bench,8.4,Average
Barbell shrug,Traps,Barbell,8.4,Average
Seated Flat Bench Leg Pull-In,Abdominals,Weight Bench,8.4,Average
Barbell shrug,Traps,Barbell,8.4,Average
Standing cable rear delt row,Shoulders,Cable,8.4,Average
Flat Bench Lying Leg Raise,Abdominals,Body Only,8.4,Average
Hack Squat,Quadriceps,Barbell,8.4,Average
Dumbbell skullcrusher,Triceps,Dumbbell,8.4,Average
Man-maker,Middle Back,Dumbbell,8.4,Average
Pallof press,Abdominals,Other,8.4,Average
Knees tucked crunch,Abdominals,Body Only,8.4,Average
Straight-arm dumbbell pull-over,Chest,Dumbbell,8.4,Average
Arms-crossed jump squat,Quadriceps,Body Only,8.4,Average
Decline Smith Press,Chest,Machine,8.4,Average
Band Skull Crusher,Triceps,,8.4,Average
Side Wrist Pull,Shoulders,None,8.4,Average
Isometric Wipers,Chest,Body Only,8.4,Average
Skating,Quadriceps,Other,8.4,Average
Cable cross-over,Chest,Cable,8.4,Average
Treadmill running,Quadriceps,Machine,8.4,Average
One Arm Pronated Dumbbell Triceps Extension,Triceps,Dumbbell,8.4,Average
Single-arm kettlebell clean and jerk,Shoulders,Kettlebells,8.4,Average
Side To Side Chins,Lats,Body Only,8.4,Average
Incline Dumbbell Bench With Palms Facing In,Chest,Dumbbell,8.4,Average
Seated palms-down wrist curl,Forearms,Dumbbell,8.4,Average
Standing leg swing,Hamstrings,Body Only,8.4,Average
Clock push-up,Chest,Body Only,8.4,Average
